sample_name,mgrast_id,biome,collection_date,country,env_package,feature,latitude,location,longitude,material,collection_time,collection_timezone,altitude,depth,elevation,samp_size,ANONYMIZED_NAME,DESCRIPTION,PLATFORM,REGION,SAMPLE_CENTER,TAXON_ID,TITLE,assigned_from_geo,common_sample_site,days_since_epoch,host_individual,mislabeled,public,sample_id
Unique name or id of the sample,,"The environmental biome represents the major classes of ecologically similar communities of plants, animals, and other organisms. Biomes are defined based on factors such as plant structures, leaf types, plant spacing, and other factors like climate. Examples include: desert, taiga, deciduous woodland, or coral reef. EnvO terms listed under environmental biome can be found from the link: http://purl.obolibrary.org/obo/ENVO_01000254","The date of sampling. Use ISO8601 compliant format, ie. 2008-01-23",The geographical origin of the sample as defined by the country or sea name. Country or sea names should be chosen from the INSDC country list: http://insdc.org/country.html,"MIGS/MIMS/MIMARKS extension for reporting of measurements and observations obtained from one or more of the environments where the sample was obtained. Use one of: air,  built environment, host-associated, human-associated, human-oral, human-gut, human-skin, human-vaginal, microbial mat|biofilm, miscellaneous, plant-associated, sediment, soil, wastewater|sludge, water","Environmental feature level includes geographic environmental features. Examples include: harbor, cliff, or lake. EnvO terms listed under environmental feature can be found from the link: http://purl.obolibrary.org/obo/ENVO_00002297",The geographical origin of the sample as defined by latitude. The value should be reported in decimal degrees and in WGS84 system,The geographical origin of the sample as defined by the specific local region name,The geographical origin of the sample as defined by longitude. The value should be reported in decimal degrees and in WGS84 system,"The environmental material level refers to the matter that was displaced by the sample, prior to the sampling event. Environmental matter terms are generally mass nouns. Examples include: air, soil, or water. EnvO terms listed under environmental matter can be found from the link: http://purl.obolibrary.org/obo/ENVO_00010483","The local time of sampling.  Use ISO8601 compliant format, ie. 19:23:10","The timezone of sampling.  Use ISO8601 compliant format, ie. UTC-7",The altitude of the sample is the vertical distance in meters between Earth's surface above Sea Level and the sampled position in the air.,"Depth is defined as the vertical distance in meters below surface, e.g. for sediment or soil samples depth is measured from sediment or soil surface, respectivly.",The elevation of the sampling site in meters as measured by the vertical distance from mean sea level.,"Amount or size of sample (volume, mass or area) that was collected, along with the unit used","any other measurement performed or parameter collected, that is not listed here","any other measurement performed or parameter collected, that is not listed here","any other measurement performed or parameter collected, that is not listed here","any other measurement performed or parameter collected, that is not listed here","any other measurement performed or parameter collected, that is not listed here","any other measurement performed or parameter collected, that is not listed here","any other measurement performed or parameter collected, that is not listed here","any other measurement performed or parameter collected, that is not listed here","any other measurement performed or parameter collected, that is not listed here","any other measurement performed or parameter collected, that is not listed here","any other measurement performed or parameter collected, that is not listed here","any other measurement performed or parameter collected, that is not listed here","any other measurement performed or parameter collected, that is not listed here",Internal ID of sample
L3S221,mgs23498,human-associated habitat,2009-12-07,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_869,Moving_pictures_of_the_human_microbiome,Illumina,L3,CCME,9606,Moving_pictures_of_the_human_microbiome,n,L_palm,14585,M3,n,y,qiime:227733
L3S222,mgs22551,human-associated habitat,2009-12-08,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_870,Moving_pictures_of_the_human_microbiome,Illumina,L3,CCME,9606,Moving_pictures_of_the_human_microbiome,n,L_palm,14586,M3,n,y,qiime:226881
L3S223,mgs22771,human-associated habitat,2009-12-10,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_871,Moving_pictures_of_the_human_microbiome,Illumina,L3,CCME,9606,Moving_pictures_of_the_human_microbiome,n,L_palm,14588,M3,n,y,qiime:227078
L3S224,mgs22949,human-associated habitat,2009-12-11,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_872,Moving_pictures_of_the_human_microbiome,Illumina,L3,CCME,9606,Moving_pictures_of_the_human_microbiome,n,L_palm,14589,M3,n,y,qiime:227238
L3S225,mgs22637,human-associated habitat,2009-12-12,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_873,Moving_pictures_of_the_human_microbiome,Illumina,L3,CCME,9606,Moving_pictures_of_the_human_microbiome,n,L_palm,14590,M3,n,y,qiime:226958
L3S226,mgs23726,human-associated habitat,2009-12-13,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_874,Moving_pictures_of_the_human_microbiome,Illumina,L3,CCME,9606,Moving_pictures_of_the_human_microbiome,n,L_palm,14591,M3,n,y,qiime:227938
L3S227,mgs24187,human-associated habitat,2009-12-15,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_875,Moving_pictures_of_the_human_microbiome,Illumina,L3,CCME,9606,Moving_pictures_of_the_human_microbiome,n,L_palm,14593,M3,n,y,qiime:228353
L3S228,mgs22819,human-associated habitat,2010-01-02,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_876,Moving_pictures_of_the_human_microbiome,Illumina,L3,CCME,9606,Moving_pictures_of_the_human_microbiome,n,L_palm,14611,M3,n,y,qiime:227121
L3S229,mgs23768,human-associated habitat,2010-01-03,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_877,Moving_pictures_of_the_human_microbiome,Illumina,L3,CCME,9606,Moving_pictures_of_the_human_microbiome,n,L_palm,14612,M3,n,y,qiime:227976
L3S23,mgs23540,human-associated habitat,2009-05-08,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_878,Moving_pictures_of_the_human_microbiome,Illumina,L3,CCME,9606,Moving_pictures_of_the_human_microbiome,n,L_palm,14372,M3,n,y,qiime:227771
L3S230,mgs24284,human-associated habitat,2010-01-04,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_879,Moving_pictures_of_the_human_microbiome,Illumina,L3,CCME,9606,Moving_pictures_of_the_human_microbiome,n,L_palm,14613,M3,n,y,qiime:228440
L3S231,mgs22616,human-associated habitat,2010-01-05,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_880,Moving_pictures_of_the_human_microbiome,Illumina,L3,CCME,9606,Moving_pictures_of_the_human_microbiome,n,L_palm,14614,M3,n,y,qiime:226939
L3S232,mgs22631,human-associated habitat,2010-01-06,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_881,Moving_pictures_of_the_human_microbiome,Illumina,L3,CCME,9606,Moving_pictures_of_the_human_microbiome,n,L_palm,14615,M3,n,y,qiime:226953
L3S233,mgs22433,human-associated habitat,2010-01-07,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_882,Moving_pictures_of_the_human_microbiome,Illumina,L3,CCME,9606,Moving_pictures_of_the_human_microbiome,n,L_palm,14616,M3,n,y,qiime:226774
L3S234,mgs23194,human-associated habitat,2010-01-08,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_883,Moving_pictures_of_the_human_microbiome,Illumina,L3,CCME,9606,Moving_pictures_of_the_human_microbiome,n,L_palm,14617,M3,n,y,qiime:227459
