sample_name,mgrast_id,body_habitat,body_site,sex
L1S303,mge34986,UBERON:gut,UBERON:feces,male
L1S304,mge35333,UBERON:gut,UBERON:feces,male
L1S305,mge35631,UBERON:gut,UBERON:feces,male
L1S307,mge36743,UBERON:gut,UBERON:feces,male
L1S308,mge35371,UBERON:gut,UBERON:feces,male
L1S309,mge35838,UBERON:gut,UBERON:feces,male
L1S31,mge35774,UBERON:gut,UBERON:feces,female
L1S310,mge36744,UBERON:gut,UBERON:feces,male
L1S313,mge35440,UBERON:gut,UBERON:feces,male
L1S314,mge35152,UBERON:gut,UBERON:feces,male
L1S315,mge36194,UBERON:gut,UBERON:feces,male
L1S316,mge36770,UBERON:gut,UBERON:feces,male
L1S318,mge35608,UBERON:gut,UBERON:feces,male
L1S319,mge36530,UBERON:gut,UBERON:feces,male
L1S32,mge35156,UBERON:gut,UBERON:feces,female
L1S320,mge36519,UBERON:gut,UBERON:feces,male
L1S322,mge36311,UBERON:gut,UBERON:feces,male
L1S323,mge36487,UBERON:gut,UBERON:feces,male
L1S324,mge35620,UBERON:gut,UBERON:feces,male
L1S325,mge35202,UBERON:gut,UBERON:feces,male
L1S326,mge35858,UBERON:gut,UBERON:feces,male
L1S328,mge36468,UBERON:gut,UBERON:feces,male
L1S329,mge35124,UBERON:gut,UBERON:feces,male
L1S33,mge36227,UBERON:gut,UBERON:feces,female
L1S330,mge35902,UBERON:gut,UBERON:feces,male
L1S331,mge36540,UBERON:gut,UBERON:feces,male
L1S332,mge35741,UBERON:gut,UBERON:feces,male
L1S333,mge34934,UBERON:gut,UBERON:feces,male
L1S334,mge36831,UBERON:gut,UBERON:feces,male
L1S335,mge35072,UBERON:gut,UBERON:feces,male
L1S336,mge35420,UBERON:gut,UBERON:feces,male
L1S337,mge35694,UBERON:gut,UBERON:feces,male
L1S338,mge36097,UBERON:gut,UBERON:feces,male
L1S339,mge36164,UBERON:gut,UBERON:feces,male
L1S34,mge35039,UBERON:gut,UBERON:feces,female
L1S340,mge35913,UBERON:gut,UBERON:feces,male
L1S343,mge36553,UBERON:gut,UBERON:feces,male
L1S344,mge36918,UBERON:gut,UBERON:feces,male
L1S345,mge35848,UBERON:gut,UBERON:feces,male
L1S346,mge35419,UBERON:gut,UBERON:feces,male
L1S347,mge36118,UBERON:gut,UBERON:feces,male
L1S348,mge34867,UBERON:gut,UBERON:feces,male
L1S349,mge34918,UBERON:gut,UBERON:feces,male
L1S35,mge35394,UBERON:gut,UBERON:feces,female
L1S350,mge36891,UBERON:gut,UBERON:feces,male
L1S351,mge35206,UBERON:gut,UBERON:feces,male
L1S353,mge35785,UBERON:gut,UBERON:feces,male
L1S354,mge35000,UBERON:gut,UBERON:feces,male
L1S357,mge36486,UBERON:gut,UBERON:feces,male
L1S359,mge35744,UBERON:gut,UBERON:feces,male
L1S36,mge36442,UBERON:gut,UBERON:feces,female
L1S360,mge36319,UBERON:gut,UBERON:feces,male
L1S362,mge35186,UBERON:gut,UBERON:feces,male
L1S363,mge35908,UBERON:gut,UBERON:feces,male
L1S364,mge36217,UBERON:gut,UBERON:feces,male
L1S365,mge35845,UBERON:gut,UBERON:feces,male
L1S366,mge36080,UBERON:gut,UBERON:feces,male
L1S367,mge34975,UBERON:gut,UBERON:feces,male
L1S368,mge35711,UBERON:gut,UBERON:feces,male
L1S369,mge35404,UBERON:gut,UBERON:feces,male
L1S37,mge35346,UBERON:gut,UBERON:feces,female
L1S371,mge35796,UBERON:gut,UBERON:feces,male
L1S372,mge36263,UBERON:gut,UBERON:feces,male
L1S374,mge36078,UBERON:gut,UBERON:feces,male
L1S376,mge36121,UBERON:gut,UBERON:feces,male
L1S378,mge36256,UBERON:gut,UBERON:feces,male
L1S379,mge35340,UBERON:gut,UBERON:feces,male
L1S380,mge35701,UBERON:gut,UBERON:feces,male
L1S381,mge35398,UBERON:gut,UBERON:feces,male
L1S382,mge36075,UBERON:gut,UBERON:feces,male
L1S383,mge36538,UBERON:gut,UBERON:feces,male
L1S39,mge35128,UBERON:gut,UBERON:feces,female
L1S4,mge35172,UBERON:gut,UBERON:feces,female
L1S40,mge35738,UBERON:gut,UBERON:feces,female
L1S43,mge36876,UBERON:gut,UBERON:feces,female
L1S44,mge35176,UBERON:gut,UBERON:feces,female
L1S45,mge35901,UBERON:gut,UBERON:feces,female
L1S46,mge35065,UBERON:gut,UBERON:feces,female
L1S49,mge35335,UBERON:gut,UBERON:feces,female
L1S5,mge35382,UBERON:gut,UBERON:feces,female
L1S50,mge36498,UBERON:gut,UBERON:feces,female
L1S53,mge36533,UBERON:gut,UBERON:feces,female
L1S54,mge35797,UBERON:gut,UBERON:feces,female
L1S55,mge35709,UBERON:gut,UBERON:feces,female
L1S56,mge35759,UBERON:gut,UBERON:feces,female
L1S57,mge35036,UBERON:gut,UBERON:feces,female
L1S58,mge35668,UBERON:gut,UBERON:feces,female
L1S59,mge35823,UBERON:gut,UBERON:feces,female
L1S6,mge35439,UBERON:gut,UBERON:feces,female
L1S60,mge34914,UBERON:gut,UBERON:feces,female
L1S61,mge35605,UBERON:gut,UBERON:feces,female
L1S62,mge36461,UBERON:gut,UBERON:feces,female
L1S63,mge36490,UBERON:gut,UBERON:feces,female
L1S64,mge36375,UBERON:gut,UBERON:feces,female
L1S65,mge36112,UBERON:gut,UBERON:feces,female
L1S67,mge35840,UBERON:gut,UBERON:feces,female
L1S68,mge34939,UBERON:gut,UBERON:feces,female
L1S69,mge35690,UBERON:gut,UBERON:feces,female
L1S71,mge36539,UBERON:gut,UBERON:feces,female
L1S73,mge35077,UBERON:gut,UBERON:feces,female
L1S74,mge36166,UBERON:gut,UBERON:feces,female
L1S77,mge36304,UBERON:gut,UBERON:feces,female
L1S78,mge36479,UBERON:gut,UBERON:feces,female
L1S79,mge36513,UBERON:gut,UBERON:feces,female
L1S80,mge35854,UBERON:gut,UBERON:feces,female
L1S82,mge35614,UBERON:gut,UBERON:feces,female
L1S83,mge35196,UBERON:gut,UBERON:feces,female
L1S86,mge35431,UBERON:gut,UBERON:feces,female
L1S89,mge35094,UBERON:gut,UBERON:feces,female
L1S9,mge35919,UBERON:gut,UBERON:feces,female
L1S90,mge35594,UBERON:gut,UBERON:feces,female
L1S91,mge36184,UBERON:gut,UBERON:feces,female
L1S92,mge35411,UBERON:gut,UBERON:feces,female
L1S95,mge35368,UBERON:gut,UBERON:feces,female
L1S97,mge35831,UBERON:gut,UBERON:feces,female
L1S98,mge36344,UBERON:gut,UBERON:feces,female
L2S1,mge35227,UBERON:gut,UBERON:feces,male
L2S10,mge35623,UBERON:gut,UBERON:feces,male
L2S100,mge35233,UBERON:skin,UBERON:zone of skin of hand,female
L2S101,mge34979,UBERON:skin,UBERON:zone of skin of hand,female
L2S102,mge36243,UBERON:skin,UBERON:zone of skin of hand,female
L2S103,mge35699,UBERON:skin,UBERON:zone of skin of hand,female
L2S105,mge36214,UBERON:skin,UBERON:zone of skin of hand,female
L2S106,mge35043,UBERON:skin,UBERON:zone of skin of hand,female
L2S108,mge36182,UBERON:skin,UBERON:zone of skin of hand,female
L2S109,mge34890,UBERON:skin,UBERON:zone of skin of hand,female
L2S11,mge36742,UBERON:gut,UBERON:feces,male
L2S110,mge36225,UBERON:skin,UBERON:zone of skin of hand,female
L2S111,mge35880,UBERON:skin,UBERON:zone of skin of hand,female
L2S112,mge35091,UBERON:skin,UBERON:zone of skin of hand,female
L2S113,mge35393,UBERON:skin,UBERON:zone of skin of hand,female
L2S114,mge35304,UBERON:skin,UBERON:zone of skin of hand,female
L2S116,mge35687,UBERON:skin,UBERON:zone of skin of hand,female
L2S118,mge36374,UBERON:skin,UBERON:zone of skin of hand,female
L2S119,mge36100,UBERON:skin,UBERON:zone of skin of hand,female
L2S12,mge36277,UBERON:gut,UBERON:feces,male
L2S121,mge36932,UBERON:skin,UBERON:zone of skin of hand,female
L2S122,mge36684,UBERON:skin,UBERON:zone of skin of hand,female
L2S123,mge35433,UBERON:skin,UBERON:zone of skin of hand,female
L2S124,mge35659,UBERON:skin,UBERON:zone of skin of hand,female
L2S125,mge34906,UBERON:skin,UBERON:zone of skin of hand,female
L2S126,mge36137,UBERON:skin,UBERON:zone of skin of hand,female
L2S127,mge35048,UBERON:skin,UBERON:zone of skin of hand,female
L2S128,mge36569,UBERON:skin,UBERON:zone of skin of hand,female
L2S129,mge36497,UBERON:skin,UBERON:zone of skin of hand,female
L2S13,mge35859,UBERON:gut,UBERON:feces,male
L2S130,mge35438,UBERON:skin,UBERON:zone of skin of hand,female
L2S131,mge34999,UBERON:skin,UBERON:zone of skin of hand,female
L2S132,mge36149,UBERON:skin,UBERON:zone of skin of hand,female
L2S133,mge36115,UBERON:skin,UBERON:zone of skin of hand,female
L2S139,mge34965,UBERON:skin,UBERON:zone of skin of hand,female
L2S14,mge36099,UBERON:gut,UBERON:feces,male
L2S140,mge36162,UBERON:skin,UBERON:zone of skin of hand,female
L2S141,mge36154,UBERON:skin,UBERON:zone of skin of hand,female
L2S143,mge35887,UBERON:skin,UBERON:zone of skin of hand,female
L2S144,mge35067,UBERON:skin,UBERON:zone of skin of hand,female
L2S147,mge35386,UBERON:skin,UBERON:zone of skin of hand,female
L2S148,mge36524,UBERON:skin,UBERON:zone of skin of hand,female
L2S149,mge35904,UBERON:skin,UBERON:zone of skin of hand,female
L2S150,mge34937,UBERON:skin,UBERON:zone of skin of hand,female
L2S153,mge36896,UBERON:skin,UBERON:zone of skin of hand,female
L2S155,mge36197,UBERON:skin,UBERON:zone of skin of hand,female
L2S156,mge36111,UBERON:skin,UBERON:zone of skin of hand,female
L2S157,mge36335,UBERON:skin,UBERON:zone of skin of hand,female
L2S16,mge35306,UBERON:gut,UBERON:feces,male
L2S160,mge36228,UBERON:skin,UBERON:zone of skin of hand,female
L2S161,mge36079,UBERON:skin,UBERON:zone of skin of hand,female
L2S162,mge36496,UBERON:skin,UBERON:zone of skin of hand,female
L2S163,mge36046,UBERON:skin,UBERON:zone of skin of hand,female
L2S164,mge35358,UBERON:skin,UBERON:zone of skin of hand,female
L2S165,mge35672,UBERON:skin,UBERON:zone of skin of hand,female
L2S167,mge35696,UBERON:skin,UBERON:zone of skin of hand,female
L2S168,mge36448,UBERON:skin,UBERON:zone of skin of hand,female
L2S17,mge36069,UBERON:gut,UBERON:feces,male
L2S170,mge35370,UBERON:skin,UBERON:zone of skin of hand,female
L2S171,mge35399,UBERON:skin,UBERON:zone of skin of hand,female
L2S174,mge34891,UBERON:skin,UBERON:zone of skin of hand,female
L2S176,mge35879,UBERON:skin,UBERON:zone of skin of hand,female
L2S178,mge35055,UBERON:skin,UBERON:zone of skin of hand,female
L2S179,mge35327,UBERON:skin,UBERON:zone of skin of hand,female
L2S18,mge36165,UBERON:gut,UBERON:feces,male
L2S180,mge36347,UBERON:skin,UBERON:zone of skin of hand,female
L2S181,mge35418,UBERON:skin,UBERON:zone of skin of hand,female
L2S182,mge35786,UBERON:skin,UBERON:zone of skin of hand,female
L2S183,mge35638,UBERON:skin,UBERON:zone of skin of hand,female
L2S184,mge35706,UBERON:skin,UBERON:zone of skin of hand,female
L2S186,mge35170,UBERON:skin,UBERON:zone of skin of hand,female
L2S187,mge36757,UBERON:skin,UBERON:zone of skin of hand,female
L2S188,mge35819,UBERON:skin,UBERON:zone of skin of hand,female
L2S189,mge35167,UBERON:skin,UBERON:zone of skin of hand,female
L2S19,mge35575,UBERON:gut,UBERON:feces,male
L2S191,mge36272,UBERON:skin,UBERON:zone of skin of hand,female
L2S195,mge35778,UBERON:skin,UBERON:zone of skin of hand,female
L2S196,mge35066,UBERON:skin,UBERON:zone of skin of hand,female
L2S197,mge36773,UBERON:skin,UBERON:zone of skin of hand,female
L2S199,mge36302,UBERON:skin,UBERON:zone of skin of hand,female
L2S20,mge35652,UBERON:gut,UBERON:feces,male
L2S201,mge34954,UBERON:skin,UBERON:zone of skin of hand,female
L2S202,mge36198,UBERON:skin,UBERON:zone of skin of hand,female
L2S203,mge36299,UBERON:skin,UBERON:zone of skin of hand,female
L2S204,mge36759,UBERON:skin,UBERON:zone of skin of hand,female
L2S206,mge35383,UBERON:skin,UBERON:zone of skin of hand,female
L2S207,mge36253,UBERON:skin,UBERON:zone of skin of hand,female
L2S208,mge35613,UBERON:skin,UBERON:zone of skin of hand,female
L2S209,mge35437,UBERON:skin,UBERON:zone of skin of hand,female
L2S21,mge34966,UBERON:gut,UBERON:feces,male
L2S210,mge34876,UBERON:skin,UBERON:zone of skin of hand,female
L2S212,mge35615,UBERON:skin,UBERON:zone of skin of hand,female
L2S214,mge35050,UBERON:skin,UBERON:zone of skin of hand,female
L2S219,mge35194,UBERON:skin,UBERON:zone of skin of hand,female
L2S22,mge36087,UBERON:gut,UBERON:feces,male
L2S220,mge35037,UBERON:skin,UBERON:zone of skin of hand,female
L2S221,mge35401,UBERON:skin,UBERON:zone of skin of hand,female
L2S222,mge36168,UBERON:skin,UBERON:zone of skin of hand,female
L2S223,mge36830,UBERON:skin,UBERON:zone of skin of hand,female
L2S224,mge35472,UBERON:skin,UBERON:zone of skin of hand,female
L2S227,mge35071,UBERON:skin,UBERON:zone of skin of hand,female
L2S228,mge35214,UBERON:skin,UBERON:zone of skin of hand,female
L2S229,mge35115,UBERON:skin,UBERON:zone of skin of hand,female
L2S230,mge35041,UBERON:skin,UBERON:zone of skin of hand,female
L2S232,mge36564,UBERON:skin,UBERON:zone of skin of hand,female
L2S234,mge35080,UBERON:skin,UBERON:zone of skin of hand,male
L2S235,mge36934,UBERON:skin,UBERON:zone of skin of hand,male
L2S236,mge36135,UBERON:skin,UBERON:zone of skin of hand,male
L2S237,mge34960,UBERON:skin,UBERON:zone of skin of hand,male
L2S24,mge36747,UBERON:gut,UBERON:feces,male
L2S242,mge36074,UBERON:skin,UBERON:zone of skin of hand,male
L2S243,mge36117,UBERON:skin,UBERON:zone of skin of hand,male
L2S244,mge36920,UBERON:skin,UBERON:zone of skin of hand,male
L2S245,mge35875,UBERON:skin,UBERON:zone of skin of hand,male
L2S247,mge36522,UBERON:skin,UBERON:zone of skin of hand,male
L2S248,mge34880,UBERON:skin,UBERON:zone of skin of hand,male
L2S249,mge36195,UBERON:skin,UBERON:zone of skin of hand,male
L2S25,mge34938,UBERON:gut,UBERON:feces,male
L2S251,mge36105,UBERON:skin,UBERON:zone of skin of hand,male
L2S253,mge36534,UBERON:skin,UBERON:zone of skin of hand,male
L2S254,mge35390,UBERON:skin,UBERON:zone of skin of hand,male
L2S256,mge34882,UBERON:skin,UBERON:zone of skin of hand,male
L2S257,mge35776,UBERON:skin,UBERON:zone of skin of hand,male
L2S259,mge35258,UBERON:skin,UBERON:zone of skin of hand,male
L2S260,mge35057,UBERON:skin,UBERON:zone of skin of hand,male
L2S261,mge36542,UBERON:skin,UBERON:zone of skin of hand,male
L2S262,mge35198,UBERON:skin,UBERON:zone of skin of hand,male
L2S263,mge36062,UBERON:skin,UBERON:zone of skin of hand,male
L2S264,mge36082,UBERON:skin,UBERON:zone of skin of hand,male
L2S265,mge35040,UBERON:skin,UBERON:zone of skin of hand,male
L2S268,mge36440,UBERON:skin,UBERON:zone of skin of hand,male
L2S269,mge35475,UBERON:skin,UBERON:zone of skin of hand,male
L2S270,mge35756,UBERON:skin,UBERON:zone of skin of hand,male
L2S271,mge35892,UBERON:skin,UBERON:zone of skin of hand,male
L2S272,mge34989,UBERON:skin,UBERON:zone of skin of hand,male
L2S273,mge35599,UBERON:skin,UBERON:zone of skin of hand,male
L2S275,mge35024,UBERON:skin,UBERON:zone of skin of hand,male
L2S276,mge35729,UBERON:skin,UBERON:zone of skin of hand,male
L2S277,mge36134,UBERON:skin,UBERON:zone of skin of hand,male
L2S278,mge36450,UBERON:skin,UBERON:zone of skin of hand,male
L2S279,mge36933,UBERON:skin,UBERON:zone of skin of hand,male
L2S28,mge35344,UBERON:gut,UBERON:feces,male
L2S280,mge36036,UBERON:skin,UBERON:zone of skin of hand,male
L2S281,mge36187,UBERON:skin,UBERON:zone of skin of hand,male
L2S283,mge36927,UBERON:skin,UBERON:zone of skin of hand,male
L2S285,mge36762,UBERON:skin,UBERON:zone of skin of hand,male
L2S286,mge35359,UBERON:skin,UBERON:zone of skin of hand,male
L2S287,mge36090,UBERON:skin,UBERON:zone of skin of hand,male
L2S289,mge34987,UBERON:skin,UBERON:zone of skin of hand,male
L2S29,mge36032,UBERON:gut,UBERON:feces,male
L2S290,mge35682,UBERON:skin,UBERON:zone of skin of hand,male
L2S291,mge35111,UBERON:skin,UBERON:zone of skin of hand,male
L2S292,mge35713,UBERON:skin,UBERON:zone of skin of hand,male
L2S296,mge35131,UBERON:skin,UBERON:zone of skin of hand,male
L2S297,mge35633,UBERON:skin,UBERON:zone of skin of hand,male
L2S298,mge35917,UBERON:skin,UBERON:zone of skin of hand,male
L2S299,mge36076,UBERON:skin,UBERON:zone of skin of hand,male
L2S3,mge36745,UBERON:gut,UBERON:feces,male
L2S30,mge35028,UBERON:gut,UBERON:feces,male
L2S300,mge35718,UBERON:skin,UBERON:zone of skin of hand,male
L2S301,mge35178,UBERON:skin,UBERON:zone of skin of hand,male
L2S302,mge35238,UBERON:skin,UBERON:zone of skin of hand,male
L2S303,mge34970,UBERON:skin,UBERON:zone of skin of hand,male
L2S307,mge36140,UBERON:skin,UBERON:zone of skin of hand,male
L2S309,mge34995,UBERON:skin,UBERON:zone of skin of hand,male
L2S31,mge36841,UBERON:gut,UBERON:feces,male
L2S311,mge35191,UBERON:skin,UBERON:zone of skin of hand,male
L2S313,mge36326,UBERON:skin,UBERON:zone of skin of hand,male
L2S314,mge36065,UBERON:skin,UBERON:zone of skin of hand,male
L2S315,mge35745,UBERON:skin,UBERON:zone of skin of hand,male
L2S318,mge34998,UBERON:skin,UBERON:zone of skin of hand,male
L2S319,mge35209,UBERON:skin,UBERON:zone of skin of hand,male
L2S32,mge35748,UBERON:gut,UBERON:feces,male
L2S321,mge36040,UBERON:skin,UBERON:zone of skin of hand,male
L2S322,mge35325,UBERON:skin,UBERON:zone of skin of hand,male
L2S325,mge36298,UBERON:skin,UBERON:zone of skin of hand,male
L2S326,mge36683,UBERON:skin,UBERON:zone of skin of hand,male
L2S327,mge35818,UBERON:skin,UBERON:zone of skin of hand,male
L2S328,mge35117,UBERON:skin,UBERON:zone of skin of hand,male
L2S329,mge35830,UBERON:skin,UBERON:zone of skin of hand,male
L2S33,mge35061,UBERON:gut,UBERON:feces,male
L2S330,mge36464,UBERON:skin,UBERON:zone of skin of hand,male
L2S331,mge35789,UBERON:skin,UBERON:zone of skin of hand,male
L2S332,mge34903,UBERON:skin,UBERON:zone of skin of hand,male
L2S333,mge35189,UBERON:skin,UBERON:zone of skin of hand,male
L2S334,mge35799,UBERON:skin,UBERON:zone of skin of hand,male
L2S335,mge35213,UBERON:skin,UBERON:zone of skin of hand,male
L2S338,mge35593,UBERON:skin,UBERON:zone of skin of hand,male
